tag,post,pre
Agriculture and Allied Activities,4000000,"200000"
Auto Parts and Equipment,3000000,0
Business Services,1057000000,0
Construction,20000000,"3500000"
"Electricity, Gas & Water companies",6000000,"100000"
Finance,100000,0
Manufacturing (Food stuffs),180000000,"240050000"
Manufacturing (Machinery & Equipments),148500000,"11825000"
Manufacturing (Metals & Chemicals and products thereof),847500000,"982201000"
"Manufacturing (Metals & Chemicals, and products thereof)",86156000,0
Pharmaceuticals,90000000,0
Specialty Retail,1000000,0
Transport storage and Communications,1000000,0
"Transport, storage and Communications",28000000,"8000000"
Manufacturing (Paper & Paper products Publishing printing and reproduction of recorded media),0,"15000000"
Manufacturing (Textiles),0,"1500000"
Trading,0,"100000"
