tag,value
Problems with ATM cash outage and card payments,0.019677056
Effect of cashless transactions on gold and other industry sectors,0.0343972963
Performance of bank,0.0368006008
Directives on rates of debit and credit cards,0.0443860308
Discussions on digital payments in the union budget,0.0479909876
Cashless transactions in public transport,0.0558768306
Government's and companies' attempts to promote cashless transactions,0.0566278633
Role of cashless payments in urban projects and smart cities,0.0615095757
Discussions on festivities,0.0642883965
"Discussions on startups, technology development, and cross-country collaborations",0.0649643259
Initiatives on cashless healthcare provision,0.0662410815
Development of E-filing portals for taxation,0.0734509951
Discussions on hardships due to demonetization,0.087495306
"Cashless banking, mobile banking, and internet banking",0.0899737139
"Developments on UPI, mobile wallets and payment gateways",0.0962823883
Ruling and opposition parties' debates on Demonetization,0.1000375516
